C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,time
-3.695151341351393,-3.0490946132676235,-3.809695731726077,-3.6027567783947276,-3.0212674682198446,-3.2507915917585093,-3.5055382543916664,-3.7718898329723043,-3.7137426934708184,-3.5530879621968445,106
-3.6905273935114087,-3.0418692589579233,-3.787289102513331,-3.5998897483100585,-3.026637112100836,-3.2675463381521337,-3.5061594266225895,-3.7615964981853245,-3.71418751778752,-3.564514033632185,107
-3.6854900090275162,-3.0345195873687763,-3.7629407415972365,-3.589747934635426,-3.032690199854399,-3.2823903619834214,-3.5078947599332824,-3.76260051198965,-3.7219945026447436,-3.5748349411295934,108
-3.6800489434579626,-3.027294230368534,-3.7361638788023166,-3.5698109899874035,-3.039528159561822,-3.2941107949192086,-3.511186064887559,-3.7784110835928435,-3.7389845829267445,-3.583616235186823,109
-3.674213952360997,-3.0204418198255483,-3.706471743953098,-3.5375585669825638,-3.0472524193043955,-3.301494768626328,-3.516475152049232,-3.812537422202468,-3.7669786935177783,-3.590423466301628,110
-3.6668508647058013,-3.012576583660028,-3.6753602571056887,-3.487237028509926,-3.05540509463381,-3.302982240137042,-3.523015686817356,-3.873235536678156,-3.8111670026147735,-3.5941917511020263,111
-3.6573194686000345,-3.002670808038242,-3.644165283658418,-3.4182636030906464,-3.0636266206241114,-3.29896430829626,-3.5299348649400413,-3.961452918689639,-3.8725445600767974,-3.594780027939249,112
-3.6463704583096592,-2.9915102121976327,-3.612159971449145,-3.335874241789506,-3.0721659046401233,-3.2911548174897876,-3.537484792504688,-4.069736001659623,-3.9466396232813077,-3.5931395798958623,113
-3.6347545281006384,-2.9798805153756445,-3.578617468315727,-3.245304895671286,-3.081271854046668,-3.281267612103434,-3.5459175755987005,-4.190631219010821,-4.028980449605769,-3.590221690054438,114
-3.623222372238934,-2.9685674368097206,-3.5428109220960224,-3.151791515800764,-3.0911933762085693,-3.2710165365230033,-3.5554853203094794,-4.316685004165941,-4.11509529642764,-3.5869776414975427,115
-3.6125246849905097,-2.958356695737304,-3.5040134806278878,-3.060570053242719,-3.1021793784906504,-3.262115435134303,-3.5664401327244257,-4.440443790547696,-4.200512421124384,-3.584358717307746,116
-3.603412160621328,-2.950034011395838,-3.4614982917491828,-2.976876459061933,-3.1144787682577335,-3.256278152323141,-3.5790341189309407,-4.55445401157879,-4.280760081073459,-3.5833162005676167,117
-3.5966354933973514,-2.944385103022766,-3.4145385032977638,-2.905946684323186,-3.128340452874642,-3.2552185324753227,-3.5935193850164264,-4.651262100681936,-4.351366533652328,-3.584801374359723,118
-3.5929453775845426,-2.9421956898555304,-3.36240726311149,-2.853016680091257,-3.144013339706199,-3.2606504199766553,-3.610148037068285,-4.723414491279844,-4.407860036238451,-3.5897655217666338,119
-3.5930925074488647,-2.9442514911315754,-3.304377719028219,-2.823322397430925,-3.1617463361172278,-3.2742876592129453,-3.6291721811739164,-4.7634576167952245,-4.44576884620929,-3.599159925870918,120
-3.598988174760714,-2.952978167930408,-3.2310419857523565,-2.8208588074222036,-3.183464894707128,-3.29857917584115,-3.652294641464617,-4.761095186069735,-4.456576886077627,-3.614588954219618,121
-3.610915710524129,-2.9689084897907034,-3.1379272329545023,-2.842415463264588,-3.2099805852083407,-3.3331081640113323,-3.6801999879967635,-4.718336661947415,-4.440190364403568,-3.6359574063273157,122
-3.6271838678555297,-2.9899888386386526,-3.0317091909217937,-2.882420189202079,-3.239871490685254,-3.3752898708489627,-3.7116129457453795,-4.64618710885454,-4.404770967635556,-3.6616672132278887,123
-3.6461013998713416,-3.0141655964004506,-2.9190635899413744,-2.935300809478682,-3.271715694202257,-3.422539543479513,-3.7452582396854917,-4.555651591217389,-4.358480382222036,-3.690120305955216,124
-3.665977059687986,-3.03938514500229,-2.8066661603003817,-2.995485148338397,-3.304091278823735,-3.4722724290284503,-3.7798605947921233,-4.457735173462238,-4.309480294611451,-3.719718615543174,125
-3.6851196004218862,-3.0635938663703643,-2.701192632285956,-3.057401030025229,-3.3355763276140786,-3.5219037746212476,-3.8141447360403005,-4.363442920015363,-4.265932391252247,-3.7488640730256426,126
-3.701837775189465,-3.084738142430867,-2.6093187361852404,-3.11547627878318,-3.364748923637673,-3.568848827383372,-3.846835388405047,-4.283779895303043,-4.2359983585928696,-3.7759586094364983,127
-3.7144403371071446,-3.1007643551099906,-2.5377202022853744,-3.164138718856251,-3.390187149958907,-3.610522834440295,-3.876657276861387,-4.229751163751556,-4.22783988308176,-3.799404155809619,128
-3.7212360392913486,-3.1096188863339296,-2.493072760873498,-3.197816174488447,-3.410469089642169,-3.6443410429174863,-3.902335126384347,-4.212361789787177,-4.249618651167365,-3.8176026431788843,129
-3.7205336348584996,-3.1092481180288765,-2.4820521422367516,-3.2109364699237704,-3.424172825751846,-3.667718699940416,-3.92259366194895,-4.2426168378361835,-4.3094963492981275,-3.8289560025781704,130
-3.7109175671300196,-3.09817428838425,-2.5146002714127005,-3.2028729146511474,-3.430320549168979,-3.679636761260331,-3.9371409892934888,-4.334863404308806,-4.425052336400849,-3.8313211405435923,131
-3.6933553013859655,-3.0777060966188596,-2.5893174605318463,-3.1790558999113876,-3.429843613131079,-3.6822095756459547,-3.9471374523725444,-4.4856594389168105,-4.597588951858695,-3.8251647063008227,132
-3.6697301236807074,-3.0499696162029863,-2.695867020520732,-3.142998872576315,-3.4241838442372354,-3.677552479748973,-3.9534861334855735,-4.6793262860387745,-4.8108523528046625,-3.8128032449180735,133
-3.64192532006862,-3.0170909206069108,-2.8239122623059054,-3.0982152795177558,-3.414783069086539,-3.667780810221071,-3.957090114932037,-4.900185290053285,-5.048588696371752,-3.79655330146356,134
-3.6118241766040744,-2.9811960833009117,-2.963116496813911,-3.0482185676075333,-3.4030831142780795,-3.6550099037139345,-3.9588524790113917,-5.132557795338922,-5.294544139692962,-3.7787314210054945,135
-3.5813099793414422,-2.94441117775527,-3.103143034971298,-2.9965221837174725,-3.3905258064109485,-3.6413550968792485,-3.9596763080230972,-5.360765146274273,-5.532464839901295,-3.7616541486120916,136
-3.552266014335098,-2.908862277440266,-3.2336551877046062,-2.946639574719398,-3.3785529720842353,-3.628931726368699,-3.9604646842666114,-5.569128687237912,-5.746096954129739,-3.747638029351565,137
-3.526575567639412,-2.876675455826181,-3.344316265940384,-2.9020841874851366,-3.3686064378970313,-3.6198551288339713,-3.962120690041393,-5.7419697626084245,-5.919186639511298,-3.7389996082921284,138
-3.5061219253087583,-2.849976786383294,-3.424789580605177,-2.8663694688865107,-3.362128030448426,-3.616240640926751,-3.9655474076469015,-5.863609716764393,-6.035480053178972,-3.7380554305019955,139
-3.4927883733975085,-2.830892342581886,-3.46473844262553,-2.8430088657953463,-3.3605595763375105,-3.620203599298723,-3.971647919382594,-5.9183698940844005,-6.078723352265757,-3.74712204104938,140
-3.486521446346088,-2.8193947523949183,-3.4539097688969793,-2.8319704309093057,-3.363760772501665,-3.632350331910823,-3.980488299002453,-5.901286049311527,-6.036960617048587,-3.768952105084621,141
-3.4853384036761255,-2.813263992208562,-3.3973269315487746,-2.8295928411933478,-3.370158445210748,-3.650824005176637,-3.9911687243555476,-5.825859614984508,-5.9204055069508,-3.802672537990869,142
-3.4882286190637966,-2.811337158112907,-3.3075679243580334,-2.833945479920237,-3.379045115062566,-3.674045213426826,-4.0031434338839675,-5.7041104521754145,-5.746058547824994,-3.8451612601855585,143
-3.494181466185278,-2.8124513461980483,-3.197210741101875,-2.8430977303627407,-3.3897133026549278,-3.700434550992055,-4.015866666029806,-5.548058421956313,-5.530920265523772,-3.8932961920861224,144
-3.5021863187167446,-2.8154436525540736,-3.0788333755574153,-2.855118975793626,-3.401455528585639,-3.7284126122029857,-4.028792659235154,-5.3697233853992685,-5.2919911858997315,-3.943955254109993,145
-3.511232550334373,-2.8191511732710772,-2.9650138215017714,-2.8680785994856586,-3.4135643134525084,-3.756399991390281,-4.041375651942101,-5.181125203576345,-5.04627183480547,-3.9940163666746056,146
-3.5203095347143387,-2.8224110044391493,-2.868330072712065,-2.8800459847116047,-3.4253321778533414,-3.7828172828846034,-4.05306988259274,-4.994283737559619,-4.8107627380935964,-4.040357450197391,147
-3.5284066455328174,-2.824060242148383,-2.8013601229654106,-2.8890905147442307,-3.436051642385946,-3.8060850810166147,-4.06332958962916,-4.821218848421152,-4.602464421616705,-4.079856425095783,148
-3.5345132564659854,-2.822935982488869,-2.7766819660389275,-2.893281572856304,-3.44501522764813,-3.824623980116979,-4.071609011493453,-4.673950397233013,-4.438377411227398,-4.109391211787216,149
-3.537618741190019,-2.817875321550699,-2.8068735957097317,-2.8906885423205906,-3.4515154542376996,-3.8368545745163583,-4.077362386627712,-4.564498245067268,-4.335502232778275,-4.125839730689123,150
-3.538548022427521,-2.8086750658276434,-2.907047074336739,-2.880962112377455,-3.455560046751723,-3.8425959015919697,-4.079443755326657,-4.484170277802294,-4.288153727315909,-4.128297715393006,151
